Date,Open,High,Low,Close,Adj Close,Volume
2014-03-19,45.000000,45.283333,43.174999,43.541664,25.958303,5352552
2014-03-20,42.500000,43.133331,41.516666,42.183334,25.148504,8951460
2014-03-21,41.750000,42.166664,40.166664,40.349998,24.055525,9828690
2014-03-22,null,null,null,null,null,null
2014-03-24,40.891666,42.666664,40.625000,42.525002,25.352200,9020826
2014-03-25,42.500000,43.933334,41.924999,43.625000,26.007984,9697650
2014-03-26,43.625000,44.616665,43.433334,43.858334,26.147097,3456276
2014-03-27,43.483334,45.733334,43.416664,45.000000,26.827721,8184810
2014-03-28,45.316666,46.333332,45.000000,45.841667,27.329496,2347134
2014-03-31,46.000000,47.500000,45.841667,46.941666,27.985292,3069060
2014-04-01,46.783333,47.316666,45.441666,45.658333,27.220203,2785116
2014-04-02,45.716667,46.575001,45.608334,46.150002,27.513325,2759412
2014-04-03,46.166664,46.458332,45.000000,45.575001,27.170521,4788780
2014-04-04,44.683334,47.458332,44.049999,46.933334,27.980318,25210902
2014-04-07,47.166664,47.666664,45.349998,45.708332,27.250008,5105760
2014-04-09,45.833332,47.033333,45.833332,46.816666,27.910765,4607778
2014-04-10,46.841667,47.066666,45.683334,46.200001,27.543133,7535094
2014-04-11,46.183334,46.783333,45.174999,45.349998,27.036379,4158864
2014-04-15,45.358334,45.691666,44.008331,44.391666,26.465050,4729950
2014-04-16,44.166664,44.474998,43.333332,43.516666,25.943401,3946236
2014-04-17,43.833332,44.299999,43.116665,44.008331,26.236519,4153128
2014-04-21,44.458332,44.775002,43.666664,44.375000,26.455120,4902348
2014-04-22,44.599998,46.583332,44.174999,45.950001,27.394087,7388580
2014-04-23,46.166664,46.650002,44.833332,45.099998,26.887341,11665068
2014-04-24,45.099998,45.099998,45.099998,45.099998,26.887341,0
2014-04-25,45.166664,45.616665,43.708332,43.924999,26.186832,3537924
2014-04-28,43.458332,45.000000,43.458332,44.158333,26.325945,3927582
2014-04-29,44.491665,44.733334,43.883331,44.375000,26.455120,2338668
2014-04-30,44.416664,45.116665,43.025002,43.908333,26.176897,6052650
2014-05-02,44.366665,45.000000,43.974998,44.616665,26.599190,2343732
2014-05-05,44.958332,45.733334,44.691666,44.866665,26.748228,3586140
2014-05-06,44.708332,45.583332,44.708332,45.166664,26.927082,2225154
2014-05-07,45.333332,46.299999,45.091667,45.724998,27.259945,3864258
2014-05-08,45.833332,46.500000,45.791664,46.433334,27.682238,4321794
2014-05-09,46.641666,48.116665,46.041664,47.758331,28.472160,6731892
2014-05-12,47.625000,50.575001,47.625000,50.333332,30.007303,14765628
2014-05-13,51.500000,53.233334,50.966667,52.049999,31.030725,16027866
2014-05-14,52.049999,52.491665,50.883331,51.275002,30.568703,3787158
2014-05-15,51.275002,51.983334,50.558334,51.408333,30.648188,5131344
2014-05-16,55.000000,57.258331,53.075001,54.599998,32.550976,26257080
2014-05-19,55.000000,60.775002,55.000000,59.616665,35.541759,18598194
2014-05-20,59.833332,60.233334,57.016666,58.083332,34.627632,9440874
2014-05-21,58.083332,58.341667,56.674999,57.650002,34.369293,5911596
2014-05-22,57.833332,59.666664,57.724998,59.224998,35.308262,7143630
2014-05-23,59.500000,61.933334,59.333332,60.616665,36.137936,7681614
2014-05-26,60.674999,63.575001,59.833332,61.883331,36.893085,11137416
2014-05-27,62.500000,62.833332,58.875000,60.224998,35.904442,9477588
2014-05-28,60.500000,60.816666,58.416664,59.724998,35.606346,5840232
2014-05-29,61.000000,61.666664,58.375000,58.900002,35.114510,14898696
2014-05-30,59.250000,60.924999,59.166664,60.016666,35.780231,7956720
2014-06-02,60.016666,61.333332,60.000000,60.549999,36.098190,6084936
2014-06-03,60.983334,61.633331,59.233334,59.875000,35.695770,7781988
2014-06-04,60.075001,60.541664,58.599998,58.741665,35.020115,5914338
2014-06-05,58.516666,61.799999,58.516666,61.250000,36.515511,16057974
2014-06-06,62.125000,64.175003,61.083332,62.191666,37.076904,22062924
2014-06-09,62.500000,63.150002,60.500000,61.216667,36.495636,6989232
2014-06-10,61.583332,61.583332,59.683334,59.808334,35.656036,7880370
2014-06-11,60.166664,61.083332,58.333332,58.549999,34.905846,6587124
2014-06-12,58.666664,59.466667,58.333332,58.716667,35.005207,8015832
2014-06-13,58.500000,58.500000,53.025002,55.549999,33.117336,11881032
2014-06-16,55.491665,56.825001,53.841667,55.950001,33.355808,9285498
2014-06-17,56.516666,58.783333,55.833332,58.400002,34.816425,7411182
2014-06-18,57.891666,59.549999,55.941666,57.066666,34.021530,6966078
2014-06-19,56.683334,57.991665,55.008331,55.666664,33.186890,6264870
2014-06-20,55.166664,56.333332,53.233334,53.633331,31.974663,7775340
2014-06-23,53.408333,54.833332,53.408333,54.566666,32.531094,8116380
2014-06-24,55.000000,57.616665,55.000000,57.000000,33.981777,11560080
2014-06-25,57.500000,58.000000,56.758331,57.200001,34.101017,7014624
2014-06-26,54.758331,56.000000,54.066666,54.650002,32.580780,8485698
2014-06-27,54.875000,55.741665,54.333332,55.466667,33.067650,3584844
2014-06-30,55.533333,57.658333,55.533333,57.433334,34.240120,4561638
2014-07-01,58.583332,59.166664,56.849998,57.116665,34.051331,9439650
2014-07-02,57.416664,57.900002,56.683334,57.158333,34.076180,7547124
2014-07-03,57.633331,58.166664,56.875000,57.141666,34.066242,4365636
2014-07-04,57.466667,58.408333,56.833332,58.158333,34.672352,6357258
2014-07-07,58.108334,58.250000,56.750000,57.041664,34.006618,3191466
2014-07-08,57.041664,57.783333,54.666664,55.375000,33.013004,5968830
2014-07-09,55.666664,57.633331,55.174999,56.958332,33.956940,4866804
2014-07-10,56.966667,59.000000,55.341667,57.116665,34.051331,7029270
2014-07-11,57.183334,57.766666,55.341667,55.633331,33.167004,4741350
2014-07-14,55.816666,56.299999,54.200001,54.541664,32.516190,5090262
2014-07-15,54.833332,55.741665,54.724998,55.299999,32.968292,3810258
2014-07-16,55.658333,56.658333,55.658333,56.358334,33.599243,2573298
